日期,品种,标的,多空,数量,可用数量,收盘价/结算价,市值/价值,盈亏/逐笔浮盈,开仓均价,持仓均价（期货）,保证金,当日盈亏,今手数,盈亏占比,仓位占比
2018-01-02,,Cash,,,,,300000,,,,,,,,0
2018-01-03,股票,普丽盛(300442.XSHE),多,2300股,0股,21.58,49634,-69,21.61,-,0,-69,2300股,-0.14%,299521.87,16.57%
2018-01-03,股票,上汽集团(600104.XSHG),多,1600股,0股,31.53,50448,-384,31.77,-,0,-384,1600股,-0.76%,299521.87,16.84%
2018-01-03,,Cash,,,,,199439.87,,,,,,,,0
2018-01-04,股票,普丽盛(300442.XSHE),多,2300股,2300股,21.51,49473,-230,21.61,-,0,-161,0股,-0.46%,302200.05,16.37%
2018-01-04,股票,上汽集团(600104.XSHG),多,1600股,1600股,31.63,50608,-224,31.77,-,0,160,0股,-0.44%,302200.05,16.75%
2018-01-04,股票,招商轮船(601872.XSHG),多,11300股,0股,4.63,52319,1695,4.48,-,0,1695,11300股,3.35%,302200.05,17.31%
2018-01-04,股票,中煤能源(601898.XSHG),多,8700股,0股,5.91,51417,1044,5.79,-,0,1044,8700股,2.07%,302200.05,17.01%
2018-01-04,股票,交通银行(601328.XSHG),多,8000股,0股,6.29,50320,-160,6.31,-,0,-160,8000股,-0.32%,302200.05,16.65%
2018-01-04,股票,中信银行(601998.XSHG),多,7500股,0股,6.39,47925,150,6.37,-,0,150,7500股,0.31%,302200.05,15.86%
2018-01-04,,Cash,,,,,138.05,,,,,,,,0
2018-01-05,股票,普丽盛(300442.XSHE),多,2300股,2300股,21.56,49588,-115,21.61,-,0,115,0股,-0.23%,303170.05,16.36%
2018-01-05,股票,上汽集团(600104.XSHG),多,1600股,1600股,31.92,51072,240,31.77,-,0,464,0股,0.47%,303170.05,16.85%
2018-01-05,股票,招商轮船(601872.XSHG),多,11300股,11300股,4.6,51980,1356,4.48,-,0,-339,0股,2.68%,303170.05,17.15%
2018-01-05,股票,中煤能源(601898.XSHG),多,8700股,8700股,5.96,51852,1479,5.79,-,0,435,0股,2.94%,303170.05,17.1%
2018-01-05,股票,交通银行(601328.XSHG),多,8000股,8000股,6.28,50240,-240,6.31,-,0,-80,0股,-0.48%,303170.05,16.57%
2018-01-05,股票,中信银行(601998.XSHG),多,7500股,7500股,6.44,48300,525,6.37,-,0,375,0股,1.1%,303170.05,15.93%
2018-01-05,,Cash,,,,,138.05,,,,,,,,0
2018-01-08,股票,普丽盛(300442.XSHE),多,2300股,2300股,21.56,49588,-115,21.61,-,0,0,0股,-0.23%,306336.05,16.19%
2018-01-08,股票,上汽集团(600104.XSHG),多,1600股,1600股,32.41,51856,1024,31.77,-,0,784,0股,2.01%,306336.05,16.93%
2018-01-08,股票,招商轮船(601872.XSHG),多,11300股,11300股,4.6,51980,1356,4.48,-,0,0,0股,2.68%,306336.05,16.97%
2018-01-08,股票,中煤能源(601898.XSHG),多,8700股,8700股,6.12,53244,2871,5.79,-,0,1392,0股,5.7%,306336.05,17.38%
2018-01-08,股票,交通银行(601328.XSHG),多,8000股,8000股,6.31,50480,0,6.31,-,0,240,0股,0%,306336.05,16.48%
2018-01-08,股票,中信银行(601998.XSHG),多,7500股,7500股,6.54,49050,1275,6.37,-,0,750,0股,2.67%,306336.05,16.01%
2018-01-08,,Cash,,,,,138.05,,,,,,,,0
2018-01-09,股票,普丽盛(300442.XSHE),多,2300股,2300股,21.56,49588,-115,21.61,-,0,0,0股,-0.23%,305277.05,16.24%
2018-01-09,股票,上汽集团(600104.XSHG),多,1600股,1600股,32.44,51904,1072,31.77,-,0,48,0股,2.11%,305277.05,17%
2018-01-09,股票,招商轮船(601872.XSHG),多,11300股,11300股,4.54,51302,678,4.48,-,0,-678,0股,1.34%,305277.05,16.81%
2018-01-09,股票,中煤能源(601898.XSHG),多,8700股,8700股,6.15,53505,3132,5.79,-,0,261,0股,6.22%,305277.05,17.53%
2018-01-09,股票,交通银行(601328.XSHG),多,8000股,8000股,6.28,50240,-240,6.31,-,0,-240,0股,-0.48%,305277.05,16.46%
2018-01-09,股票,中信银行(601998.XSHG),多,7500股,7500股,6.48,48600,825,6.37,-,0,-450,0股,1.73%,305277.05,15.92%
2018-01-09,,Cash,,,,,138.05,,,,,,,,0
2018-01-10,股票,普丽盛(300442.XSHE),多,2300股,2300股,21.03,48369,-1334,21.61,-,0,-1219,0股,-2.68%,307583.05,15.73%
2018-01-10,股票,上汽集团(600104.XSHG),多,1600股,1600股,33.87,54192,3360,31.77,-,0,2288,0股,6.61%,307583.05,17.62%
2018-01-10,股票,招商轮船(601872.XSHG),多,11300股,11300股,4.58,51754,1130,4.48,-,0,452,0股,2.23%,307583.05,16.83%
2018-01-10,股票,中煤能源(601898.XSHG),多,8700股,8700股,6.1,53070,2697,5.79,-,0,-435,0股,5.35%,307583.05,17.25%
2018-01-10,股票,交通银行(601328.XSHG),多,8000股,8000股,6.32,50560,80,6.31,-,0,320,0股,0.16%,307583.05,16.44%
2018-01-10,股票,中信银行(601998.XSHG),多,7500股,7500股,6.6,49500,1725,6.37,-,0,900,0股,3.61%,307583.05,16.09%
2018-01-10,,Cash,,,,,138.05,,,,,,,,0
2018-01-11,股票,普丽盛(300442.XSHE),多,2300股,2300股,21.23,48829,-874,21.61,-,0,460,0股,-1.76%,308223.05,15.84%
2018-01-11,股票,上汽集团(600104.XSHG),多,1600股,1600股,33.83,54128,3296,31.77,-,0,-64,0股,6.48%,308223.05,17.56%
2018-01-11,股票,招商轮船(601872.XSHG),多,11300股,11300股,4.57,51641,1017,4.48,-,0,-113,0股,2.01%,308223.05,16.75%
2018-01-11,股票,中煤能源(601898.XSHG),多,8700股,8700股,6.01,52287,1914,5.79,-,0,-783,0股,3.8%,308223.05,16.96%
2018-01-11,股票,交通银行(601328.XSHG),多,8000股,8000股,6.35,50800,320,6.31,-,0,240,0股,0.63%,308223.05,16.48%
2018-01-11,股票,中信银行(601998.XSHG),多,7500股,7500股,6.72,50400,2625,6.37,-,0,900,0股,5.49%,308223.05,16.35%
2018-01-11,,Cash,,,,,138.05,,,,,,,,0
2018-01-12,股票,普丽盛(300442.XSHE),多,2300股,2300股,20.98,48254,-1449,21.61,-,0,-575,0股,-2.92%,309059.05,15.61%
2018-01-12,股票,上汽集团(600104.XSHG),多,1600股,1600股,33.91,54256,3424,31.77,-,0,128,0股,6.74%,309059.05,17.56%
2018-01-12,股票,招商轮船(601872.XSHG),多,11300股,11300股,4.56,51528,904,4.48,-,0,-113,0股,1.79%,309059.05,16.67%
2018-01-12,股票,中煤能源(601898.XSHG),多,8700股,8700股,6.04,52548,2175,5.79,-,0,261,0股,4.32%,309059.05,17%
2018-01-12,股票,交通银行(601328.XSHG),多,8000股,8000股,6.37,50960,480,6.31,-,0,160,0股,0.95%,309059.05,16.49%
2018-01-12,股票,中信银行(601998.XSHG),多,7500股,7500股,6.85,51375,3600,6.37,-,0,975,0股,7.54%,309059.05,16.62%
2018-01-12,,Cash,,,,,138.05,,,,,,,,0
2018-01-15,股票,普丽盛(300442.XSHE),多,2300股,2300股,20.15,46345,-3358,21.61,-,0,-1909,0股,-6.76%,306830.05,15.1%
2018-01-15,股票,上汽集团(600104.XSHG),多,1600股,1600股,33.5,53600,2768,31.77,-,0,-656,0股,5.45%,306830.05,17.47%
2018-01-15,股票,招商轮船(601872.XSHG),多,11300股,11300股,4.54,51302,678,4.48,-,0,-226,0股,1.34%,306830.05,16.72%
2018-01-15,股票,中煤能源(601898.XSHG),多,8700股,8700股,5.9,51330,957,5.79,-,0,-1218,0股,1.9%,306830.05,16.73%
2018-01-15,股票,交通银行(601328.XSHG),多,8000股,8000股,6.48,51840,1360,6.31,-,0,880,0股,2.69%,306830.05,16.9%
2018-01-15,股票,中信银行(601998.XSHG),多,7500股,7500股,6.97,52275,4500,6.37,-,0,900,0股,9.42%,306830.05,17.04%
2018-01-15,,Cash,,,,,138.05,,,,,,,,0
2018-01-16,股票,普丽盛(300442.XSHE),多,2300股,2300股,20.42,46966,-2737,21.61,-,0,621,0股,-5.51%,307265.05,15.29%
