时间,基准收益,策略收益,当日盈利,当日亏损,当日买入,当日卖出,超额收益(%)
2018-01-02 16:00:00,1.4,0,0,0,0,0,-1.38
2018-01-03 16:00:00,2,-0.16,0,-478.13,100535,0,-2.12
2018-01-04 16:00:00,2.43,0.73,2678.19,0,199252,0,-1.66
2018-01-05 16:00:00,2.68,1.06,970,0,0,0,-1.58
2018-01-08 16:00:00,3.21,2.11,3166,0,0,0,-1.07
2018-01-09 16:00:00,3.93,1.76,0,-1059,0,0,-2.09
2018-01-10 16:00:00,4.39,2.53,2306,0,0,0,-1.78
2018-01-11 16:00:00,4.34,2.74,640,0,0,0,-1.53
2018-01-12 16:00:00,4.82,3.02,836,0,0,0,-1.72
2018-01-15 16:00:00,4.82,2.28,0,-2229,0,0,-2.42
2018-01-16 16:00:00,5.65,2.42,435,0,0,0,-3.06
2018-01-17 16:00:00,5.39,3.17,2248,0,0,0,-2.11
2018-01-18 16:00:00,5.97,3.91,2211,0,0,0,-1.94
2018-01-19 16:00:00,6.32,4.39,1441,0,0,0,-1.82
2018-01-22 16:00:00,7.59,4.89,1512,0,0,0,-2.51
2018-01-23 16:00:00,8.73,6.37,4438,0,0,0,-2.17
2018-01-24 16:00:00,8.91,6.48,317,0,0,0,-2.23
2018-01-25 16:00:00,8.29,6.67,567,0,0,0,-1.5
2018-01-26 16:00:00,8.69,6.9,703,0,0,0,-1.65
2018-01-29 16:00:00,6.73,6.07,0,-2490,0,0,-0.62
2018-01-30 16:00:00,5.59,4.92,0,-3448,0,0,-0.63
2018-01-31 16:00:00,6.08,3.56,0,-4089,0,0,-2.38
2018-02-01 16:00:00,5.34,2.14,0,-4266,0,0,-3.04
2018-02-02 16:00:00,5.96,2.67,1586,0,0,0,-3.1
2018-02-05 16:00:00,6.04,5.68,9051,0,0,0,-0.34
2018-02-06 16:00:00,2.93,2.6,0,-9237,0,0,-0.32
2018-02-07 16:00:00,0.49,2.35,0,-772,0,0,1.85
2018-02-08 16:00:00,-0.47,-0.56,0,-8714,0,0,-0.09
2018-02-09 16:00:00,-4.72,-4.55,0,-11963,0,0,0.18
2018-02-12 16:00:00,-3.49,-4.59,0,-116,0,0,-1.14
2018-02-13 16:00:00,-2.36,-4.01,1736,0,0,0,-1.69
2018-02-14 16:00:00,-1.59,-3.71,900,0,0,0,-2.15
2018-02-22 16:00:00,0.54,-1.64,6189,0,0,0,-2.17
2018-02-23 16:00:00,1,-1.24,1198,0,0,0,-2.22
2018-02-26 16:00:00,2.17,-0.27,2910,0,0,0,-2.39
2018-02-27 16:00:00,0.7,-1.23,0,-2862,0,0,-1.92
2018-02-28 16:00:00,-0.18,-2.09,0,-2598,0,0,-1.91
2018-03-01 16:00:00,0.45,-1.32,2317,0,0,0,-1.76
2018-03-02 16:00:00,-0.36,-1.58,0,-783,0,0,-1.22
2018-03-05 16:00:00,-0.32,-1.61,0,-92,0,0,-1.29
2018-03-06 16:00:00,0.89,-0.73,2660,0,0,0,-1.61
2018-03-07 16:00:00,0.14,-0.83,0,-301,0,0,-0.97
2018-03-08 16:00:00,1.16,-0.64,569,0,0,0,-1.78
2018-03-09 16:00:00,1.94,0.14,2344,0,0,0,-1.77
2018-03-12 16:00:00,2.4,0.94,2375,0,0,0,-1.43
2018-03-13 16:00:00,1.5,0.52,0,-1255,0,0,-0.97
2018-03-14 16:00:00,1.05,-0.32,0,-2508,0,0,-1.36
2018-03-15 16:00:00,1.62,-0.68,0,-1089,0,0,-2.26
2018-03-16 16:00:00,0.63,-0.64,123,0,0,0,-1.26
2018-03-19 16:00:00,1.08,-0.65,0,-36,0,0,-1.71
2018-03-20 16:00:00,1.16,-0.6,153,0,0,0,-1.74
2018-03-21 16:00:00,0.75,-1.27,0,-1999,0,0,-2
2018-03-22 16:00:00,-0.26,-1.66,0,-1189,0,0,-1.4
2018-03-23 16:00:00,-3.12,-4.72,0,-9167,0,0,-1.65
2018-03-26 16:00:00,-3.75,-6.17,0,-4357,0,0,-2.51
2018-03-27 16:00:00,-2.92,-5.76,1227,0,0,0,-2.93
2018-03-28 16:00:00,-4.67,-6.79,0,-3084,0,0,-2.22
2018-03-29 16:00:00,-3.39,-5.48,3928,0,0,0,-2.16
2018-03-30 16:00:00,-3.28,-5.05,1286,0,0,0,-1.83
2018-04-02 16:00:00,-3.57,-5.35,0,-885,0,0,-1.85
2018-04-03 16:00:00,-4.18,-6.51,0,-3496,0,0,-2.43
2018-04-04 16:00:00,-4.37,-6.15,1079,0,0,0,-1.86
2018-04-09 16:00:00,-4.41,-6.5,0,-1046,0,0,-2.19
2018-04-10 16:00:00,-2.57,-4.75,5249,0,0,0,-2.24
2018-04-11 16:00:00,-2.3,-4.37,1140,0,0,0,-2.12
2018-04-12 16:00:00,-3.28,-5.74,0,-4100,0,0,-2.54
2018-04-13 16:00:00,-3.96,-5.6,431,0,0,0,-1.71
2018-04-16 16:00:00,-5.51,-6.76,0,-3488,0,0,-1.32
2018-04-17 16:00:00,-7,-8.23,0,-4421,0,0,-1.32
2018-04-18 16:00:00,-6.56,-7.5,2185,0,0,0,-1.01
2018-04-19 16:00:00,-5.43,-7.22,851,0,0,0,-1.89
2018-04-20 16:00:00,-6.7,-8.12,0,-2690,0,0,-1.52
2018-04-23 16:00:00,-6.56,-7.96,479,0,0,0,-1.5
2018-04-24 16:00:00,-4.65,-6.56,4183,0,0,0,-2
2018-04-25 16:00:00,-5.02,-7.05,0,-1471,0,0,-2.14
2018-04-26 16:00:00,-6.83,-7.96,0,-2706,0,0,-1.21
2018-04-27 16:00:00,-6.8,-7.23,2172,0,0,0,-0.46
