日期,委托时间,品种,标的,交易类型,下单类型,成交数量,成交价,成交额,委托数量,委托价格,平仓盈亏,手续费,状态,最后更新时间
2018-01-03,09:30:00,股票,招商轮船(601872.XSHG),买,市价单,11400股,4.46,50844,11400股,-,0,12.71,全部成交,2018-01-03 09:30:00
2018-01-03,09:30:00,股票,中煤能源(601898.XSHG),买,市价单,8700股,5.81,50547,8700股,-,0,12.64,全部成交,2018-01-03 09:30:00
2018-01-03,09:30:00,股票,交通银行(601328.XSHG),买,市价单,8100股,6.27,50787,8100股,-,0,12.7,全部成交,2018-01-03 09:30:00
2018-01-03,09:30:00,股票,中信银行(601998.XSHG),买,市价单,8100股,6.29,50949,8100股,-,0,12.74,全部成交,2018-01-03 09:30:00
2018-01-03,09:30:00,股票,国投电力(600886.XSHG),买,市价单,6800股,7.43,50524,6800股,-,0,12.63,全部成交,2018-01-03 09:30:00
2018-01-03,09:30:00,股票,杭州银行(600926.XSHG),买,市价单,3700股,11.66,43142,3700股,-,0,10.79,全部成交,2018-01-03 09:30:00
2018-01-03,09:30:00,股票,大冶特钢(000708.XSHE),买,市价单,200股,11.65,2330,200股,-,0,5,全部成交,2018-01-03 09:30:00
2018-01-04,09:30:00,股票,光大银行(601818.XSHG),买,市价单,100股,4.11,411,100股,-,0,5,全部成交,2018-01-04 09:30:00
2018-01-09,09:30:00,股票,包钢股份(600010.XSHG),买,市价单,100股,2.54,254,100股,-,0,5,全部成交,2018-01-09 09:30:00
2018-01-12,09:30:00,股票,招商轮船(601872.XSHG),卖,市价单,-11400股,4.56,-51984,-11400股,-,1140,64.98,全部成交,2018-01-12 09:30:00
2018-01-12,09:30:00,股票,中煤能源(601898.XSHG),卖,市价单,-8700股,6.01,-52287,-8700股,-,1740,65.36,全部成交,2018-01-12 09:30:00
2018-01-12,09:30:00,股票,交通银行(601328.XSHG),卖,市价单,-8100股,6.35,-51435,-8100股,-,648,64.29,全部成交,2018-01-12 09:30:00
2018-01-12,09:30:00,股票,中信银行(601998.XSHG),卖,市价单,-8100股,6.69,-54189,-8100股,-,3240,67.74,全部成交,2018-01-12 09:30:00
2018-01-12,09:30:00,股票,国投电力(600886.XSHG),卖,市价单,-6800股,7.38,-50184,-6800股,-,-340,62.73,全部成交,2018-01-12 09:30:00
2018-01-12,09:30:00,股票,杭州银行(600926.XSHG),卖,市价单,-3700股,11.73,-43401,-3700股,-,259,54.25,全部成交,2018-01-12 09:30:00
2018-01-12,09:30:00,股票,大冶特钢(000708.XSHE),卖,市价单,-200股,11.58,-2316,-200股,-,-14,7.32,全部成交,2018-01-12 09:30:00
2018-01-12,09:30:00,股票,机器人(300024.XSHE),买,市价单,2700股,19.22,51894,2700股,-,0,12.97,全部成交,2018-01-12 09:30:00
2018-01-12,09:30:00,股票,昆仑万维(300418.XSHE),买,市价单,2300股,22.09,50807,2300股,-,0,12.7,全部成交,2018-01-12 09:30:00
2018-01-12,09:30:00,股票,用友网络(600588.XSHG),买,市价单,2300股,22.44,51612,2300股,-,0,12.9,全部成交,2018-01-12 09:30:00
2018-01-12,09:30:00,股票,科大讯飞(002230.XSHE),买,市价单,700股,66.9,46830,700股,-,0,11.71,全部成交,2018-01-12 09:30:00
2018-01-15,09:30:00,股票,光大银行(601818.XSHG),卖,市价单,-100股,4.16,-416,-100股,-,5,5.42,全部成交,2018-01-15 09:30:00
2018-01-15,09:30:00,股票,机器人(300024.XSHE),卖,市价单,-2700股,18.8,-50760,-2700股,-,-1134,63.45,全部成交,2018-01-15 09:30:00
2018-01-15,09:30:00,股票,昆仑万维(300418.XSHE),卖,市价单,-2300股,21.31,-49013,-2300股,-,-1794,61.27,全部成交,2018-01-15 09:30:00
2018-01-15,09:30:00,股票,科大讯飞(002230.XSHE),卖,市价单,-700股,65.1,-45570,-700股,-,-1260,56.96,全部成交,2018-01-15 09:30:00
2018-01-15,09:30:00,股票,扬杰科技(300373.XSHE),买,市价单,2000股,25.54,51080,2000股,-,0,12.77,全部成交,2018-01-15 09:30:00
2018-01-15,09:30:00,股票,中金黄金(600489.XSHG),买,市价单,5000股,10.14,50700,5000股,-,0,12.68,全部成交,2018-01-15 09:30:00
2018-01-15,09:30:00,股票,复星医药(600196.XSHG),买,市价单,1100股,45.53,50083,1100股,-,0,12.52,全部成交,2018-01-15 09:30:00
2018-01-16,09:30:00,股票,包钢股份(600010.XSHG),卖,市价单,-100股,2.43,-243,-100股,-,-11,5.24,全部成交,2018-01-16 09:30:00
