date,daily_return
2018-01-03,0.000000
2018-01-04,0.000000
2018-01-05,0.000000
2018-01-08,0.000000
2018-01-09,0.000000
2018-01-10,0.000000
2018-01-11,0.000000
2018-01-12,0.000000
2018-01-15,0.000000
2018-01-16,0.000000
2018-01-17,0.010178
2018-01-18,0.009416
2018-01-19,-0.005541
2018-01-22,0.015075
2018-01-23,0.001007
2018-01-24,0.031656
2018-01-25,-0.010581
2018-01-26,-0.010130
2018-01-29,-0.004033
2018-01-30,0.005206
2018-01-31,0.000214
2018-02-01,-0.020195
2018-02-02,0.022804
2018-02-05,0.000367
2018-02-06,-0.031724
2018-02-07,0.012053
2018-02-08,0.015591
2018-02-09,-0.008620
2018-02-12,0.059209
2018-02-13,0.002383
2018-02-14,0.003669
2018-02-22,0.000000
2018-02-23,0.009841
2018-02-26,0.026801
2018-02-27,-0.006008
2018-02-28,0.000000
2018-03-01,0.000000
2018-03-02,0.000466
2018-03-05,0.001185
2018-03-06,0.004698
2018-03-07,-0.007421
2018-03-08,0.006656
2018-03-09,0.006739
2018-03-12,0.006460
2018-03-13,-0.007402
2018-03-14,-0.002053
2018-03-15,-0.002282
2018-03-16,-0.000906
2018-03-19,-0.000973
2018-03-20,0.000965
2018-03-21,-0.003784
2018-03-22,-0.000417
2018-03-23,-0.054691
2018-03-26,0.017181
2018-03-27,0.039797
2018-03-28,-0.021050
2018-03-29,0.019254
2018-03-30,0.031988
2018-04-02,0.010553
2018-04-03,-0.009342
2018-04-04,-0.002444
2018-04-09,0.000959
2018-04-10,0.003022
2018-04-11,0.013876
2018-04-12,-0.009248
2018-04-13,-0.007937
2018-04-16,-0.010726
2018-04-17,-0.011294
2018-04-18,-0.002086
2018-04-19,0.006337
2018-04-20,-0.005164
2018-04-23,-0.001017
2018-04-24,0.011269
2018-04-25,-0.000496
2018-04-26,-0.010204
2018-04-27,0.001681
2018-05-02,0.002702
2018-05-03,0.009357
2018-05-04,0.003837
2018-05-07,0.032749
2018-05-08,0.011688
2018-05-09,-0.002970
2018-05-10,0.005209
2018-05-11,-0.002980
2018-05-14,0.001204
2018-05-15,0.001203
2018-05-16,-0.002988
2018-05-17,-0.003915
2018-05-18,0.002251
2018-05-21,0.009685
2018-05-22,-0.008525
2018-05-23,-0.007555
2018-05-24,-0.007777
2018-05-25,-0.007898
2018-05-28,-0.012809
2018-05-29,0.002617
2018-05-30,-0.011728
2018-05-31,0.004055
2018-06-01,-0.003962
2018-06-04,-0.008999
2018-06-05,0.021050
2018-06-06,0.000782
2018-06-07,-0.002735
2018-06-08,-0.005591
2018-06-11,-0.002367
2018-06-12,0.008814
2018-06-13,-0.007048
2018-06-14,-0.002791
2018-06-15,-0.007968
2018-06-19,-0.024877
2018-06-20,-0.000492
2018-06-21,-0.019410
2018-06-22,0.012795
2018-06-25,-0.007332
2018-06-26,0.014499
2018-06-27,-0.003915
2018-06-28,0.003756
2018-06-29,0.020482
2018-07-02,-0.007992
2018-07-03,-0.000991
2018-07-04,-0.008654
2018-07-05,-0.006982
2018-07-06,0.001289
2018-07-09,0.017034
2018-07-10,0.010266
2018-07-11,-0.014371
2018-07-12,0.013313
2018-07-13,0.002754
2018-07-16,-0.001970
2018-07-17,-0.001044
2018-07-18,-0.005280
2018-07-19,-0.002901
2018-07-20,0.005055
2018-07-23,0.011805
2018-07-24,0.015770
2018-07-25,-0.003445
2018-07-26,-0.002996
2018-07-27,-0.002735
2018-07-30,-0.002941
2018-07-31,0.015171
2018-08-01,-0.019413
2018-08-02,0.002822
2018-08-03,-0.022425
2018-08-06,-0.030519
2018-08-07,0.019328
2018-08-08,-0.017034
2018-08-09,0.018928
2018-08-10,0.009524
2018-08-13,0.000130
2018-08-14,-0.009016
2018-08-15,-0.004941
2018-08-16,0.000386
2018-08-17,-0.005116
2018-08-20,-0.000930
2018-08-21,0.008506
2018-08-22,-0.004412
2018-08-23,0.004044
2018-08-24,0.004078
2018-08-27,0.019340
2018-08-28,0.001972
2018-08-29,0.001478
2018-08-30,-0.005779
2018-08-31,-0.001725
2018-09-03,-0.000883
2018-09-04,0.006000
2018-09-05,-0.005651
2018-09-06,-0.002339
2018-09-07,0.001110
2018-09-10,-0.010909
2018-09-11,0.003705
2018-09-12,0.001397
2018-09-13,0.007370
2018-09-14,-0.001622
2018-09-17,-0.009914
2018-09-18,0.010019
2018-09-19,0.010961
2018-09-20,-0.001147
2018-09-21,0.020286
2018-09-25,-0.007886
2018-09-26,0.004638
2018-09-27,-0.003513
2018-09-28,0.021437
2018-10-08,-0.018157
2018-10-09,-0.008018
2018-10-10,0.007590
2018-10-11,-0.061144
2018-10-12,-0.009315
2018-10-15,-0.010082
2018-10-16,-0.001310
2018-10-17,0.000000
2018-10-18,0.000000
2018-10-19,0.000000
2018-10-22,0.000000
2018-10-23,0.000000
2018-10-24,0.000000
2018-10-25,0.000000
2018-10-26,0.000000
2018-10-29,0.000000
2018-10-30,0.000000
2018-10-31,0.003797
2018-11-01,0.002085
2018-11-02,0.000000
2018-11-05,0.000000
2018-11-06,0.000000
2018-11-07,0.000000
2018-11-08,0.000000
2018-11-09,0.000000
2018-11-12,0.000000
2018-11-13,0.000811
2018-11-14,-0.001842
2018-11-15,0.002998
2018-11-16,0.000983
2018-11-19,0.001358
2018-11-20,-0.009185
2018-11-21,-0.003146
2018-11-22,-0.005293
2018-11-23,-0.011059
2018-11-26,-0.003766
2018-11-27,0.015793
2018-11-28,0.017834
2018-11-29,-0.011015
2018-11-30,0.020541
2018-12-03,0.036040
2018-12-04,-0.002573
2018-12-05,0.005952
2018-12-06,-0.017689
2018-12-07,0.008825
2018-12-10,0.004008
2018-12-11,0.015331
2018-12-12,-0.010064
2018-12-13,0.004570
2018-12-14,-0.009335
2018-12-17,-0.000126
2018-12-18,-0.007438
2018-12-19,-0.000154
2018-12-20,-0.001706
2018-12-21,-0.000050
2018-12-24,0.001708
2018-12-25,0.008303
2018-12-26,-0.000932
2018-12-27,-0.004416
2018-12-28,0.001856
2019-01-02,-0.002561
2019-01-03,0.007061
2019-01-04,0.030817
2019-01-07,0.011300
2019-01-08,-0.011970
2019-01-09,0.002816
2019-01-10,-0.002931
2019-01-11,0.001306
2019-01-14,-0.005678
2019-01-15,0.006773
2019-01-16,-0.001358
2019-01-17,-0.003815
2019-01-18,0.011071
2019-01-21,0.004391
2019-01-22,-0.006931
2019-01-23,-0.000572
2019-01-24,0.001335
2019-01-25,-0.002418
2019-01-28,0.003763
2019-01-29,-0.005919
2019-01-30,-0.026711
2019-01-31,0.001498
2019-02-01,0.024830
2019-02-11,0.005398
2019-02-12,0.010120
2019-02-13,0.037252
2019-02-14,0.016748
2019-02-15,-0.011036
2019-02-18,0.047192
2019-02-19,-0.002259
2019-02-20,-0.000672
2019-02-21,-0.000123
2019-02-22,0.000114
2019-02-25,0.044229
2019-02-26,0.000955
2019-02-27,-0.001811
2019-02-28,-0.005263
2019-03-01,0.019788
2019-03-04,0.024787
2019-03-05,-0.006134
2019-03-06,0.008402
2019-03-07,-0.008908
2019-03-08,-0.006351
2019-03-11,0.017599
2019-03-12,-0.005352
2019-03-13,-0.017771
2019-03-14,-0.005911
2019-03-15,0.025674
2019-03-18,0.019587
2019-03-19,-0.000355
2019-03-20,-0.013616
2019-03-21,0.003193
2019-03-22,-0.000269
2019-03-25,-0.003934
2019-03-26,-0.024474
2019-03-27,0.005391
2019-03-28,0.000746
2019-03-29,0.021703
2019-04-01,0.040024
2019-04-02,0.010801
2019-04-03,0.000964
2019-04-04,0.004633
2019-04-08,-0.010902
2019-04-09,0.001644
2019-04-10,0.009217
2019-04-11,-0.021520
2019-04-12,-0.005919
2019-04-15,-0.002356
2019-04-16,0.021605
2019-04-17,0.004378
2019-04-18,0.013504
2019-04-19,-0.003182
2019-04-22,0.009683
2019-04-23,-0.019216
2019-04-24,0.006046
2019-04-25,-0.019214
2019-04-26,-0.007731
2019-04-29,-0.026868
2019-04-30,-0.009957
2019-05-06,-0.028215
2019-05-07,0.015721
2019-05-08,0.001103
2019-05-09,-0.013931
2019-05-10,0.000000
2019-05-13,0.000000
2019-05-14,0.000000
2019-05-15,0.000000
2019-05-16,0.000000
2019-05-17,0.000000
2019-05-20,0.000000
2019-05-21,0.000124
2019-05-22,0.001970
2019-05-23,-0.013934
2019-05-24,-0.003405
2019-05-27,0.005782
2019-05-28,-0.000093
2019-05-29,-0.000150
2019-05-30,-0.003493
2019-05-31,-0.003884
2019-06-03,-0.001741
2019-06-04,-0.001512
2019-06-05,0.006386
2019-06-06,-0.007433
2019-06-10,0.004940
2019-06-11,0.020721
2019-06-12,-0.007144
2019-06-13,0.001304
2019-06-14,-0.004765
2019-06-17,0.000655
2019-06-18,0.001738
2019-06-19,0.009536
2019-06-20,0.014424
2019-06-21,0.006696
2019-06-24,-0.001525
2019-06-25,-0.007777
2019-06-26,0.003646
2019-06-27,0.019228
2019-06-28,-0.004686
2019-07-01,0.034778
2019-07-02,-0.001487
2019-07-03,-0.016362
2019-07-04,-0.010564
2019-07-05,0.006123
2019-07-08,-0.019546
2019-07-09,0.015509
2019-07-10,-0.010229
2019-07-11,-0.006997
2019-07-12,0.008128
2019-07-15,0.008217
2019-07-16,0.002481
2019-07-17,0.013648
2019-07-18,-0.016856
2019-07-19,0.007190
2019-07-22,-0.002863
2019-07-23,0.014806
2019-07-24,0.011678
2019-07-25,0.015395
2019-07-26,-0.002094
2019-07-29,-0.000710
2019-07-30,0.005385
2019-07-31,-0.000069
2019-08-01,-0.000580
2019-08-02,-0.003582
2019-08-05,-0.005054
2019-08-06,-0.005468
2019-08-07,0.001479
2019-08-08,0.002764
2019-08-09,-0.003885
2019-08-12,0.008878
2019-08-13,-0.004054
2019-08-14,0.001121
2019-08-15,-0.006834
2019-08-16,0.002559
2019-08-19,0.012468
2019-08-20,0.003166
2019-08-21,-0.001330
2019-08-22,0.001476
2019-08-23,0.000075
2019-08-26,-0.000275
2019-08-27,0.007528
2019-08-28,-0.002677
2019-08-29,0.002156
2019-08-30,0.002171
2019-09-02,0.011815
2019-09-03,0.000548
2019-09-04,0.005451
2019-09-05,0.005067
2019-09-06,0.002139
2019-09-09,0.018659
2019-09-10,-0.001886
2019-09-11,0.006663
2019-09-12,0.002461
2019-09-16,0.004708
2019-09-17,0.001256
2019-09-18,0.013842
2019-09-19,0.008525
2019-09-20,0.013802
2019-09-23,-0.017255
2019-09-24,-0.014302
2019-09-25,-0.011731
2019-09-26,0.000526
2019-09-27,-0.010873
2019-09-30,-0.019002
2019-10-08,-0.011534
2019-10-09,0.017917
2019-10-10,0.001863
2019-10-11,0.000021
2019-10-14,0.009446
2019-10-15,-0.023656
2019-10-16,-0.005070
2019-10-17,0.000988
2019-10-18,-0.002616
2019-10-21,-0.000639
2019-10-22,0.002136
2019-10-23,0.004606
2019-10-24,-0.004438
2019-10-25,0.001991
2019-10-28,0.006699
2019-10-29,-0.007995
2019-10-30,-0.000536
2019-10-31,0.000087
2019-11-01,0.007771
2019-11-04,0.005139
2019-11-05,-0.006905
2019-11-06,0.008990
2019-11-07,0.007339
2019-11-08,-0.003372
2019-11-11,-0.020797
2019-11-12,-0.000623
2019-11-13,0.023589
2019-11-14,0.000210
2019-11-15,-0.022441
2019-11-18,-0.000237
2019-11-19,0.021485
2019-11-20,-0.003079
2019-11-21,0.000098
2019-11-22,0.002644
2019-11-25,0.007121
2019-11-26,-0.005020
2019-11-27,-0.004248
2019-11-28,-0.002040
2019-11-29,0.001341
2019-12-02,0.005520
2019-12-03,0.001277
2019-12-04,0.002781
2019-12-05,0.003424
2019-12-06,0.005480
2019-12-09,0.000188
2019-12-10,0.007373
2019-12-11,-0.004895
2019-12-12,0.001753
2019-12-13,0.002992
2019-12-16,0.006404
2019-12-17,0.008631
2019-12-18,0.003300
2019-12-19,0.000291
2019-12-20,-0.013619
2019-12-23,-0.016829
2019-12-24,0.007845
2019-12-25,-0.004685
2019-12-26,-0.002110
2019-12-27,-0.012083
2019-12-30,0.000295
2019-12-31,0.002536
2020-01-02,0.004315
2020-01-03,0.002180
2020-01-06,0.002144
2020-01-07,0.006301
2020-01-08,-0.001583
2020-01-09,0.017976
2020-01-10,-0.005607
2020-01-13,0.008569
2020-01-14,0.027879
2020-01-15,-0.000208
2020-01-16,-0.005528
2020-01-17,0.007623
2020-01-20,0.019059
2020-01-21,-0.008859
2020-01-22,-0.000990
2020-01-23,-0.017364
2020-02-03,-0.005089
2020-02-04,0.014569
2020-02-05,0.009317
2020-02-06,0.003311
2020-02-07,0.000000
2020-02-10,0.000000
2020-02-11,0.000000
2020-02-12,0.000000
2020-02-13,0.000000
2020-02-14,0.000000
2020-02-17,0.000000
2020-02-18,0.000000
2020-02-19,0.000000
2020-02-20,0.000000
2020-02-21,0.001537
2020-02-24,-0.003044
2020-02-25,-0.008930
2020-02-26,-0.007706
2020-02-27,-0.003593
2020-02-28,-0.010319
2020-03-02,0.025444
2020-03-03,-0.001547
2020-03-04,-0.004298
2020-03-05,0.000000
2020-03-06,0.000000
2020-03-09,0.000000
2020-03-10,0.000000
2020-03-11,0.000000
2020-03-12,0.000000
2020-03-13,0.000000
2020-03-16,-0.037623
2020-03-17,0.002225
2020-03-18,-0.034740
2020-03-19,-0.011071
2020-03-20,0.000000
2020-03-23,0.000000
2020-03-24,0.000000
2020-03-25,0.000000
2020-03-26,0.000000
2020-03-27,0.000000
2020-03-30,0.000000
2020-03-31,0.000000
2020-04-01,0.000000
2020-04-02,0.000000
2020-04-03,0.001847
2020-04-07,0.007446
2020-04-08,0.004679
2020-04-09,0.011127
2020-04-10,-0.022090
2020-04-13,-0.002851
2020-04-14,0.009395
2020-04-15,-0.009149
2020-04-16,0.001997
2020-04-17,0.001927
2020-04-20,0.004383
2020-04-21,-0.003452
2020-04-22,0.005285
2020-04-23,0.009467
2020-04-24,0.001139
2020-04-27,0.000739
2020-04-28,0.014577
2020-04-29,-0.019387
2020-04-30,0.028052
2020-05-06,0.017968
2020-05-07,-0.004812
2020-05-08,0.000044
2020-05-11,0.010686
2020-05-12,-0.009254
2020-05-13,0.003539
2020-05-14,0.005613
2020-05-15,0.012702
2020-05-18,0.041464
2020-05-19,0.006693
2020-05-20,-0.011743
2020-05-21,-0.002868
2020-05-22,-0.010387
2020-05-25,-0.000763
2020-05-26,0.021900
2020-05-27,-0.016884
2020-05-28,0.004884
2020-05-29,0.003562
2020-06-01,0.043281
2020-06-02,0.010580
2020-06-03,0.001479
2020-06-04,-0.012834
2020-06-05,-0.001381
2020-06-08,-0.005061
2020-06-09,0.037810
2020-06-10,-0.004073
2020-06-11,-0.007710
2020-06-12,-0.013723
2020-06-15,-0.017079
2020-06-16,0.010878
2020-06-17,0.002098
2020-06-18,0.011568
2020-06-19,0.004240
2020-06-22,-0.004320
2020-06-23,-0.024165
2020-06-24,0.003900
2020-06-29,-0.014090
2020-06-30,-0.001856
2020-07-01,0.029189
2020-07-02,0.004199
2020-07-03,0.005819
2020-07-06,0.062007
2020-07-07,0.025582
2020-07-08,0.017282
2020-07-09,0.004027
2020-07-10,0.012011
2020-07-13,0.028688
2020-07-14,-0.027328
2020-07-15,-0.009127
2020-07-16,-0.004954
2020-07-17,-0.006865
2020-07-20,0.012357
2020-07-21,-0.002499
2020-07-22,0.000030
2020-07-23,-0.011185
2020-07-24,-0.018167
2020-07-27,0.003279
2020-07-28,0.015723
2020-07-29,0.054771
2020-07-30,-0.010728
2020-07-31,0.007566
2020-08-03,0.053274
2020-08-04,0.002030
2020-08-05,0.000732
2020-08-06,0.010614
2020-08-07,-0.008284
2020-08-10,0.009131
2020-08-11,-0.015818
2020-08-12,0.010124
2020-08-13,-0.001522
2020-08-14,0.010476
2020-08-17,0.002480
2020-08-18,0.000972
2020-08-19,-0.009115
2020-08-20,-0.010382
2020-08-21,0.003353
2020-08-24,-0.001766
2020-08-25,0.006415
2020-08-26,-0.037903
2020-08-27,0.001952
2020-08-28,0.008755
2020-08-31,0.003520
2020-09-01,0.004414
2020-09-02,-0.016797
2020-09-03,0.010649
2020-09-04,0.003813
2020-09-07,-0.011715
2020-09-08,-0.002797
2020-09-09,-0.021667
2020-09-10,-0.013726
2020-09-11,0.003409
2020-09-14,-0.000093
2020-09-15,0.001248
2020-09-16,-0.008343
2020-09-17,0.008089
2020-09-18,0.015582
2020-09-21,-0.002236
2020-09-22,-0.009720
