date,equity,state,n_positions,cash
2018-01-02,300000.00,SIDEWAYS,0,300000.00
2018-01-03,300000.00,SIDEWAYS,0,300000.00
2018-01-04,300000.00,SIDEWAYS,0,300000.00
2018-01-05,300000.00,SIDEWAYS,0,300000.00
2018-01-08,300000.00,SIDEWAYS,0,300000.00
2018-01-09,300000.00,SIDEWAYS,0,300000.00
2018-01-10,300000.00,SIDEWAYS,0,300000.00
2018-01-11,300000.00,SIDEWAYS,0,300000.00
2018-01-12,300000.00,SIDEWAYS,0,300000.00
2018-01-15,300000.00,SIDEWAYS,0,300000.00
2018-01-16,300000.00,SIDEWAYS,0,300000.00
2018-01-17,303053.34,SIDEWAYS,8,367.34
2018-01-18,305906.84,SIDEWAYS,5,101749.84
2018-01-19,304211.87,SIDEWAYS,8,1162.87
2018-01-22,308797.87,SIDEWAYS,8,1162.87
2018-01-23,309108.87,SIDEWAYS,8,1162.87
2018-01-24,318893.87,SIDEWAYS,8,1162.87
2018-01-25,315519.71,SIDEWAYS,3,213471.71
2018-01-26,312323.47,SIDEWAYS,3,207650.47
2018-01-29,311063.97,SIDEWAYS,0,311063.97
2018-01-30,312683.53,SIDEWAYS,3,158168.53
2018-01-31,312750.53,SIDEWAYS,3,158168.53
2018-02-01,306434.61,SIDEWAYS,5,101517.61
2018-02-02,313422.62,SIDEWAYS,6,100867.62
2018-02-05,313537.73,SIDEWAYS,10,117.73
2018-02-06,303591.09,BULL,4,193833.09
2018-02-07,307250.31,BULL,8,53543.31
2018-02-08,312040.74,BULL,9,74965.74
2018-02-09,309350.91,BULL,9,4620.91
2018-02-12,327667.32,BULL,6,61702.32
2018-02-13,328448.17,BULL,8,381.17
2018-02-14,329653.19,CRASH,0,329653.19
2018-02-22,329653.19,SIDEWAYS,0,329653.19
2018-02-23,332897.16,SIDEWAYS,3,164377.16
2018-02-26,341819.03,SIDEWAYS,5,50658.03
2018-02-27,339765.53,CRASH,0,339765.53
2018-02-28,339765.53,CRASH,0,339765.53
2018-03-01,339765.53,BEAR,0,339765.53
2018-03-02,339923.78,BEAR,6,273574.78
2018-03-05,340326.50,BEAR,7,261829.50
2018-03-06,341925.28,BEAR,8,250701.28
2018-03-07,339387.76,BEAR,19,136158.76
2018-03-08,341646.76,BEAR,19,133872.76
2018-03-09,343949.04,BEAR,22,101429.04
2018-03-12,346170.82,BEAR,17,158641.82
2018-03-13,343608.36,BEAR,20,128663.36
2018-03-14,342903.06,BEAR,16,170497.06
2018-03-15,342120.49,BEAR,7,270476.49
2018-03-16,341810.56,BEAR,8,264380.56
2018-03-19,341477.84,BEAR,3,318856.84
2018-03-20,341807.29,BEAR,3,319015.29
2018-03-21,340513.93,BULL,4,232128.93
2018-03-22,340371.83,BULL,7,6110.83
2018-03-23,321756.68,BULL,1,311492.68
2018-03-26,327284.72,BULL,7,244.72
2018-03-27,340309.72,BULL,7,244.72
2018-03-28,333146.18,BULL,6,10942.18
2018-03-29,339560.67,BULL,8,517.67
2018-03-30,350422.67,BEAR,8,517.67
2018-04-02,354120.67,BEAR,8,517.67
2018-04-03,350812.47,BEAR,2,340230.47
2018-04-04,349955.12,BEAR,8,279400.12
2018-04-09,350290.56,BEAR,8,269098.56
2018-04-10,351349.27,SIDEWAYS,12,17668.27
2018-04-11,356224.48,SIDEWAYS,13,67778.48
2018-04-12,352930.19,BEAR,18,18341.19
2018-04-13,350129.10,BEAR,16,33288.10
2018-04-16,346373.52,BEAR,9,93150.52
2018-04-17,342461.72,BEAR,8,192929.72
2018-04-18,341747.33,BEAR,8,254781.33
2018-04-19,343912.97,BEAR,18,154340.97
2018-04-20,342136.94,BEAR,16,175852.94
2018-04-23,341789.15,BEAR,17,156857.15
2018-04-24,345640.92,BEAR,20,124065.92
2018-04-25,345469.36,BEAR,21,117446.36
2018-04-26,341944.31,BEAR,18,149209.31
2018-04-27,342519.07,BEAR,16,173810.07
2018-05-02,343444.46,BEAR,12,225137.46
2018-05-03,346658.22,SIDEWAYS,12,44267.22
2018-05-04,347988.36,SIDEWAYS,15,14.36
2018-05-07,359384.72,BEAR,13,20687.72
2018-05-08,363585.10,BEAR,16,1228.10
2018-05-09,362505.10,BEAR,16,1228.10
2018-05-10,364393.26,BEAR,11,55447.26
2018-05-11,363307.46,BEAR,8,278809.46
2018-05-14,363744.79,BEAR,7,300185.79
2018-05-15,364182.48,BEAR,12,241400.48
2018-05-16,363094.14,BEAR,13,212639.14
2018-05-17,361672.71,BEAR,14,201108.71
2018-05-18,362486.90,BEAR,15,189395.90
2018-05-21,365997.48,BULL,17,9739.48
2018-05-22,362877.48,BULL,14,45495.48
2018-05-23,360135.95,BULL,8,250566.95
2018-05-24,357335.06,BULL,8,78424.06
2018-05-25,354512.75,BULL,6,171216.75
2018-05-28,349971.64,BULL,7,85418.64
2018-05-29,350887.38,CHOPPY_BEAR,10,168548.38
2018-05-30,346772.32,CHOPPY_BEAR,9,217129.32
2018-05-31,348178.33,CHOPPY_BEAR,17,65292.33
