date,symbol,action,price,shares,regime,reason,pnl_pct,entry_date
2018-01-17,600584,BUY,18.4400,2700,SIDEWAYS,,,
2018-01-17,300373,BUY,24.7000,2000,SIDEWAYS,,,
2018-01-17,002371,BUY,32.8800,1500,SIDEWAYS,,,
2018-01-17,002460,BUY,60.5000,800,SIDEWAYS,,,
2018-01-17,300661,BUY,76.2100,600,SIDEWAYS,,,
2018-01-17,002600,BUY,7.4600,6800,SIDEWAYS,,,
2018-01-17,002049,BUY,40.9000,100,SIDEWAYS,,,
2018-01-17,300115,BUY,17.9500,100,SIDEWAYS,,,
2018-01-18,002600,SELL,7.4600,6800,SIDEWAYS,stop_loss,0.0000,2018-01-17
2018-01-18,002460,SELL,58.5100,800,SIDEWAYS,stop_loss,-0.0329,2018-01-17
2018-01-18,002049,SELL,40.8000,100,SIDEWAYS,stop_loss,-0.0024,2018-01-17
2018-01-19,000977,BUY,16.9700,3000,SIDEWAYS,,,
2018-01-19,002460,BUY,58.7700,800,SIDEWAYS,,,
2018-01-19,600522,BUY,12.6500,200,SIDEWAYS,,,
2018-01-25,600584,SELL,20.3000,2700,SIDEWAYS,time_stop,0.1009,2018-01-17
2018-01-25,300373,SELL,26.1900,2000,SIDEWAYS,time_stop,0.0603,2018-01-17
2018-01-25,002371,SELL,35.1500,1500,SIDEWAYS,time_stop,0.0690,2018-01-17
2018-01-25,300661,SELL,84.8800,600,SIDEWAYS,time_stop,0.1138,2018-01-17
2018-01-25,300115,SELL,19.5100,100,SIDEWAYS,time_stop,0.0869,2018-01-17
2018-01-26,300136,BUY,34.8600,1500,SIDEWAYS,,,
2018-01-26,002460,SELL,58.3000,800,SIDEWAYS,stop_loss,-0.0080,2018-01-19
2018-01-29,300136,SELL,33.0000,1500,SIDEWAYS,stop_loss,-0.0534,2018-01-26
2018-01-29,000977,SELL,17.2100,3000,SIDEWAYS,time_stop,0.0141,2018-01-19
2018-01-29,600522,SELL,12.6100,200,SIDEWAYS,stop_loss,-0.0032,2018-01-19
2018-01-30,300136,BUY,33.2800,1500,SIDEWAYS,,,
2018-01-30,000063,BUY,31.2200,1600,SIDEWAYS,,,
2018-01-30,300373,BUY,22.9700,2300,SIDEWAYS,,,
2018-02-01,300394,BUY,18.1500,2800,SIDEWAYS,,,
2018-02-01,300223,BUY,26.9000,1900,SIDEWAYS,,,
2018-02-01,002241,BUY,13.8300,3700,SIDEWAYS,,,
2018-02-01,002600,BUY,6.7000,600,SIDEWAYS,,,
2018-02-01,000063,SELL,30.0000,1600,SIDEWAYS,stop_loss,-0.0391,2018-01-30
2018-02-01,300373,SELL,23.0000,2300,SIDEWAYS,stop_loss,0.0013,2018-01-30
2018-02-02,601238,BUY,20.2000,2600,SIDEWAYS,,,
2018-02-02,002463,BUY,4.2300,10900,SIDEWAYS,,,
2018-02-02,601689,BUY,19.2500,100,SIDEWAYS,,,
2018-02-02,000100,BUY,3.3800,200,SIDEWAYS,,,
2018-02-02,300394,SELL,17.1000,2800,SIDEWAYS,stop_loss,-0.0579,2018-02-01
2018-02-02,300223,SELL,25.9500,1900,SIDEWAYS,stop_loss,-0.0353,2018-02-01
2018-02-02,002600,SELL,6.2700,600,SIDEWAYS,stop_loss,-0.0642,2018-02-01
2018-02-05,300394,BUY,16.8000,3100,SIDEWAYS,,,
2018-02-05,300458,BUY,18.7000,2400,SIDEWAYS,,,
2018-02-05,300223,BUY,24.2000,100,SIDEWAYS,,,
2018-02-05,600372,BUY,12.3400,100,SIDEWAYS,,,
2018-02-06,002241,SELL,13.3300,3700,SIDEWAYS,stop_loss,-0.0362,2018-02-01
2018-02-06,002463,SELL,4.1900,10900,SIDEWAYS,stop_loss,-0.0095,2018-02-02
2018-02-06,300394,SELL,16.3200,3100,SIDEWAYS,stop_loss,-0.0286,2018-02-05
2018-02-06,300458,SELL,18.7100,2400,SIDEWAYS,stop_loss,0.0005,2018-02-05
2018-02-06,300223,SELL,24.0000,100,SIDEWAYS,stop_loss,-0.0083,2018-02-05
2018-02-06,600372,SELL,12.7500,100,SIDEWAYS,stop_loss,0.0332,2018-02-05
2018-02-07,300394,BUY,16.2600,4700,BULL,,,
2018-02-07,002074,BUY,17.3600,4400,BULL,,,
2018-02-07,300223,BUY,22.8600,1600,BULL,,,
2018-02-07,600233,BUY,14.8000,200,BULL,,,
2018-02-07,302132,BUY,8.2500,100,BULL,,,
2018-02-07,300136,SELL,35.5000,1500,SIDEWAYS,time_stop,0.0667,2018-01-30
2018-02-08,600809,BUY,52.0000,900,BULL,,,
2018-02-08,300316,BUY,14.5000,400,BULL,,,
2018-02-08,300394,SELL,15.8000,4700,BULL,stop_loss,-0.0283,2018-02-07
2018-02-09,600438,BUY,8.9600,7900,BULL,,,
2018-02-09,000002,BUY,31.5000,100,BULL,,,
2018-02-09,600233,SELL,14.5000,200,BULL,stop_loss,-0.0203,2018-02-07
2018-02-09,302132,SELL,8.0400,100,BULL,stop_loss,-0.0255,2018-02-07
2018-02-12,601238,SELL,21.0100,2600,SIDEWAYS,time_stop,0.0401,2018-02-02
2018-02-12,601689,SELL,19.2200,100,SIDEWAYS,time_stop,-0.0016,2018-02-02
2018-02-12,000100,SELL,3.3600,200,SIDEWAYS,time_stop,-0.0059,2018-02-02
2018-02-13,601688,BUY,16.8000,3400,BULL,,,
2018-02-13,601766,BUY,10.3000,400,BULL,,,
2018-02-14,002074,SELL,20.1200,4400,BULL,crash_clear,0.1590,2018-02-07
2018-02-14,300223,SELL,24.6600,1600,BULL,crash_clear,0.0787,2018-02-07
2018-02-14,600809,SELL,58.2000,900,BULL,crash_clear,0.1192,2018-02-08
2018-02-14,300316,SELL,16.3700,400,BULL,crash_clear,0.1290,2018-02-08
2018-02-14,600438,SELL,9.8800,7900,BULL,crash_clear,0.1027,2018-02-09
2018-02-14,000002,SELL,32.8700,100,BULL,crash_clear,0.0435,2018-02-09
2018-02-14,601688,SELL,16.9700,3400,BULL,crash_clear,0.0101,2018-02-13
2018-02-14,601766,SELL,10.2000,400,BULL,crash_clear,-0.0097,2018-02-13
2018-02-23,600875,BUY,9.4600,5900,SIDEWAYS,,,
2018-02-23,002049,BUY,39.0900,1400,SIDEWAYS,,,
2018-02-23,300014,BUY,17.0400,3200,SIDEWAYS,,,
2018-02-26,002625,BUY,24.5000,2300,SIDEWAYS,,,
2018-02-26,603993,BUY,8.0600,7100,SIDEWAYS,,,
2018-02-27,600875,SELL,9.5600,5900,SIDEWAYS,crash_clear,0.0106,2018-02-23
2018-02-27,002049,SELL,42.4600,1400,SIDEWAYS,crash_clear,0.0862,2018-02-23
2018-02-27,300014,SELL,17.4500,3200,SIDEWAYS,crash_clear,0.0241,2018-02-23
2018-02-27,002625,SELL,25.1900,2300,SIDEWAYS,crash_clear,0.0282,2018-02-26
2018-02-27,603993,SELL,8.4700,7100,SIDEWAYS,crash_clear,0.0509,2018-02-26
2018-03-02,601600,BUY,5.2800,2100,BEAR,,,
2018-03-02,300024,BUY,18.6000,600,BEAR,,,
2018-03-02,300339,BUY,9.9000,1100,BEAR,,,
2018-03-02,300458,BUY,20.6800,500,BEAR,,,
2018-03-02,600219,BUY,3.4000,3300,BEAR,,,
2018-03-02,601872,BUY,4.0700,2800,BEAR,,,
2018-03-05,600027,BUY,3.6700,3100,BEAR,,,
2018-03-05,600795,BUY,3.0800,3700,BEAR,,,
2018-03-05,600219,SELL,3.3600,3300,BEAR,stop_loss,-0.0118,2018-03-02
2018-03-06,000617,BUY,13.8900,800,BEAR,,,
2018-03-07,000725,BUY,5.7800,2000,BEAR,,,
2018-03-07,000807,BUY,8.6800,1300,BEAR,,,
2018-03-07,001965,BUY,10.5200,1100,BEAR,,,
2018-03-07,002001,BUY,40.0000,200,BEAR,,,
2018-03-07,002311,BUY,22.7500,500,BEAR,,,
2018-03-07,002736,BUY,11.1000,1000,BEAR,,,
2018-03-07,600085,BUY,32.5500,300,BEAR,,,
2018-03-07,600219,BUY,3.4200,3300,BEAR,,,
2018-03-07,601607,BUY,22.6700,500,BEAR,,,
2018-03-07,601878,BUY,13.7000,800,BEAR,,,
2018-03-07,603260,BUY,61.3500,100,BEAR,,,
2018-03-08,002142,BUY,20.2200,500,BEAR,,,
2018-03-08,002001,SELL,39.3000,200,BEAR,stop_loss,-0.0175,2018-03-07
2018-03-09,000786,BUY,23.9600,400,BEAR,,,
2018-03-09,601899,BUY,4.7800,2400,BEAR,,,
2018-03-09,601919,BUY,6.3000,1800,BEAR,,,
2018-03-12,601600,SELL,5.3000,2100,BEAR,time_stop,0.0038,2018-03-02
2018-03-12,300024,SELL,19.5100,600,BEAR,time_stop,0.0489,2018-03-02
2018-03-12,300339,SELL,10.6900,1100,BEAR,time_stop,0.0798,2018-03-02
2018-03-12,300458,SELL,22.5000,500,BEAR,time_stop,0.0880,2018-03-02
2018-03-12,601872,SELL,4.1100,2800,BEAR,time_stop,0.0098,2018-03-02
2018-03-13,000338,BUY,8.5400,1300,BEAR,,,
2018-03-13,002709,BUY,51.2600,200,BEAR,,,
2018-03-13,600029,BUY,11.7800,900,BEAR,,,
2018-03-13,600346,BUY,15.5700,700,BEAR,,,
2018-03-13,601111,BUY,13.2600,800,BEAR,,,
2018-03-13,600027,SELL,3.8600,3100,BEAR,time_stop,0.0518,2018-03-05
2018-03-13,600795,SELL,3.1500,3700,BEAR,time_stop,0.0227,2018-03-05
2018-03-14,300498,BUY,22.5000,500,BEAR,,,
2018-03-14,000617,SELL,14.1900,800,BEAR,time_stop,0.0216,2018-03-06
2018-03-14,001965,SELL,10.3200,1100,BEAR,stop_loss,-0.0190,2018-03-07
2018-03-14,002142,SELL,19.8100,500,BEAR,stop_loss,-0.0203,2018-03-08
2018-03-14,002709,SELL,51.1400,200,BEAR,stop_loss,-0.0023,2018-03-13
2018-03-14,600029,SELL,11.5500,900,BEAR,stop_loss,-0.0195,2018-03-13
2018-03-15,000568,BUY,60.1400,100,BEAR,,,
2018-03-15,000725,SELL,5.9100,2000,BEAR,time_stop,0.0225,2018-03-07
2018-03-15,000807,SELL,8.7300,1300,BEAR,time_stop,0.0058,2018-03-07
2018-03-15,002311,SELL,22.6500,500,BEAR,time_stop,-0.0044,2018-03-07
2018-03-15,002736,SELL,11.0100,1000,BEAR,time_stop,-0.0081,2018-03-07
2018-03-15,600085,SELL,32.7500,300,BEAR,time_stop,0.0061,2018-03-07
2018-03-15,600219,SELL,3.4000,3300,BEAR,time_stop,-0.0058,2018-03-07
2018-03-15,601607,SELL,23.1500,500,BEAR,time_stop,0.0212,2018-03-07
2018-03-15,601878,SELL,13.5800,800,BEAR,stop_loss,-0.0088,2018-03-07
2018-03-15,603260,SELL,61.9000,100,BEAR,time_stop,0.0090,2018-03-07
2018-03-15,300498,SELL,22.1800,500,BEAR,stop_loss,-0.0142,2018-03-14
2018-03-16,000651,BUY,53.7800,200,BEAR,,,
2018-03-16,600809,BUY,58.3100,100,BEAR,,,
2018-03-16,601111,SELL,13.1800,800,BEAR,stop_loss,-0.0060,2018-03-13
2018-03-19,000786,SELL,25.4900,400,BEAR,time_stop,0.0639,2018-03-09
2018-03-19,601899,SELL,4.6600,2400,BEAR,stop_loss,-0.0251,2018-03-09
